date_aaaammjj;menutypeplat;plat;specificites;repas
2020-11-03;Entrée;PATE CAMPAGNE HQA A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-11-03;Légumes;PRINTANIERE DE LEGUMES;;DEJEUNER
2020-11-03;Fromage;FROMAGE CANTAL AOP;Haute Qualité Alimentaire;DEJEUNER
2020-11-05;Plat;CURRY LEGUMES/RIZ DE CAMARGUE- PLAT COMPLET ALTERNATIF PV;Haute Qualité Alimentaire;DEJEUNER
2020-11-05;Plat;SAUTE DE PORC BIO EN CIVET;Produit Agriculture Biologique;DEJEUNER
2020-11-06;Plat;DOS DE CABILLAUD A LA SAUCE CATALANE;;DEJEUNER
2020-11-09;Plat;DOS DE COLIN MARINADE HUILE D'OLIVE ET CITRON;;DEJEUNER
2020-11-10;Plat;SAUCISSE AUX HERBES A GRILLER A/PORC HQA;Haute Qualité Alimentaire;DEJEUNER
2020-11-10;Dessert;COMPOTE BIO POMME ALLEGEE ET BISCUIT CIGARETTE;Produit Agriculture Biologique;DEJEUNER
2020-11-12;Entrée;SALADE MELANGE LOCALE BIO AUX CROUTONS;Produit Agriculture Biologique;DEJEUNER
2020-11-12;Dessert;DANETTE VANILLE IND;;DEJEUNER
2020-11-12;Dessert;RIZ AU LAIT ENTIER ET CARAMEL IND;;DEJEUNER
2020-11-13;Entrée;CHORIZO DOUX A/PORC;;DEJEUNER
2020-11-13;Fromage;FROMAGE TOMME CATALANE AOP;Haute Qualité Alimentaire;DEJEUNER
2020-11-16;Entrée;PAMPLEMOUSSE ROSE AU SUCRE (ENTREE);;DEJEUNER
2020-11-16;Légumes;HARICOTS VERTS BIO PARMENTIER;Produit Agriculture Biologique;DEJEUNER
2020-11-16;Fromage;FROMAGE PETIT LOUIS COQUE IND;;DEJEUNER
2020-11-17;Entrée;OEUF DUR MIMOSA;;DEJEUNER
2020-11-17;Légumes;PETIT POIS CAROTTES BIO UPC;Produit Agriculture Biologique;DEJEUNER
2020-11-19;Fromage;FROMAGE CARRE FRAIS BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-11-19;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2020-11-23;Entrée;TIELLE DE SETE IND;;DEJEUNER
2020-11-23;Fromage;YAOURT NATURE BIO LES 2 VACHES ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2020-11-23;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-11-24;Dessert;RIZ AU LAIT ENTIER ET CARAMEL IND;;DEJEUNER
2020-11-26;Légumes;HARICOTS VERTS BIO CAROTTES;Produit Agriculture Biologique;DEJEUNER
2020-11-27;Fromage;FROMAGE TOMME DE BREBIS;;DEJEUNER
2020-11-27;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-11-30;Entrée;SOUPE DE NOUILLE AUX CREVETTES UPC;;DEJEUNER
2020-11-30;Légumes;RIZ CANTONNAIS;;DEJEUNER
2020-11-30;Dessert;ANANAS FRAIS EN TRANCHE;Haute Qualité Alimentaire;DEJEUNER
2020-12-01;Entrée;LENTILLES VINAIGRETTE;;DEJEUNER
2020-12-01;Entrée;VELOUTE CAROTTES BIO MAISON;Produit Agriculture Biologique;DEJEUNER
2020-12-01;Légumes;CHOU FLEUR BIO EN GRATIN;Produit Agriculture Biologique;DEJEUNER
2020-12-04;Légumes;FONDUE DE POIREAUX FRAIS;Haute Qualité Alimentaire;DEJEUNER
2020-12-07;Entrée;SAUCISSON SEC SALVETAT ET CORNICHONS;Haute Qualité Alimentaire;DEJEUNER
2020-12-10;Plat;ROUGAIL SAUCISSE A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-12-10;Légumes;PUREE DE BUTTERNUT;Haute Qualité Alimentaire;DEJEUNER
