date_aaaammjj;menutypeplat;plat;specificites;repas
2020-11-10;Légumes;PUREE DE BUTTERNUT;Haute Qualité Alimentaire;DEJEUNER
2020-09-11;Plat;POISSON PAVE BORDELAISE;;DEJEUNER
2021-04-09;Dessert;GLACE BARRE SNICKERS;;DEJEUNER
2020-11-12;Entrée;SALADE DE MACHE AUX BETTERAVES BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-11;Dessert;RAISIN DE PAYS;Haute Qualité Alimentaire;DEJEUNER
2021-04-12;Entrée;MORTADELLE IGP A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-11-12;Fromage;YAOURT CITRON BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-14;Légumes;RIZ DE CAMARGUE PILAF;Haute Qualité Alimentaire;DEJEUNER
2021-04-12;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-11-16;Dessert;ILE FLOTTANTE ET CREME ANGLAISE;;DEJEUNER
2020-09-14;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-04-13;Entrée;TOMATE SAUCE BASILIC/CITRON;;DEJEUNER
2020-11-17;Entrée;SALADE TENDRESSE AUX LARDONS;Haute Qualité Alimentaire;DEJEUNER
2020-09-14;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2021-04-13;Fromage;FROMAGE SAINT PAULIN BIO;Produit Agriculture Biologique;DEJEUNER
2020-11-17;Fromage;YAOURT FRAISE AU LAIT ENTIER BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-09-15;Entrée;MELON PAYS;Haute Qualité Alimentaire;DEJEUNER
2021-04-13;Dessert;GATEAU AUX POIRES UPC;;DEJEUNER
2020-11-19;Entrée;PIZZA FRAICHE AU FROMAGE MOZZARELLA;;DEJEUNER
2020-09-17;Entrée;CAROTTES RAPEES BIO;Produit Agriculture Biologique;DEJEUNER
2021-04-15;Entrée;SALADE MELANGE BIO AU LEERDAMER ZIG-ZAG;Produit Agriculture Biologique;DEJEUNER
2020-11-19;Légumes;PUREE DE POMME DE TERRE UPC;;DEJEUNER
2020-09-17;Entrée;SALADE MELANGEE BIO A LA FOURME D'AMBERT;Produit Agriculture Biologique;DEJEUNER
2021-04-15;Fromage;FROMAGE GOUDA BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-11-20;Légumes;PUREE DE PATATE DOUCE;;DEJEUNER
2020-09-17;Fromage;FROMAGE BLANC NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2021-04-16;Entrée;GASPACHO;;DEJEUNER
2020-11-20;Légumes;RIZ PILAF;;DEJEUNER
2020-09-21;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-04-16;Entrée;PIZZA AU FROMAGE EN BANDE;;DEJEUNER
2020-11-20;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2020-09-22;Plat;SAUTE DE DINDE BIO MARENGO;Produit Agriculture Biologique;DEJEUNER
2021-04-16;Entrée;SALADE LAITUE BIO AUX CROUTONS;Produit Agriculture Biologique;DEJEUNER
2020-11-20;Dessert;GATEAU CHOCO-COCO;;DEJEUNER
2020-09-22;Fromage;FROMAGE BLANC NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2021-04-16;Plat;SAUMON A LA CREME;;DEJEUNER
2020-11-23;Entrée;JAMBON CRU SALVETAT/CORNICHON A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-09-22;Fromage;YAOURT VELOUTE AUX FRUITS MIXES;;DEJEUNER
2021-05-03;Entrée;POMELOS BIO AU SUCRE (ENTREE);Produit Agriculture Biologique;DEJEUNER
2020-11-23;Plat;BOEUF BIO ESTOUFFADE PROVENCALE;Produit Agriculture Biologique;DEJEUNER
2020-09-25;Entrée;SALADE MELANGE LOCALE BIO MIMOSA;Produit Agriculture Biologique;DEJEUNER
2021-05-03;Légumes;FRITES DE  LEGUMES;;DEJEUNER
2020-11-24;Légumes;POELEE RIZ A LA CAMARGUAISE;;DEJEUNER
2020-09-25;Plat;BOEUF BIO FACON GARDIANE;Produit Agriculture Biologique;DEJEUNER
2021-05-03;Fromage;YAOURT NATURE BIO LAIT ENTIER ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2020-11-26;Entrée;SALADE TENDRESSE AU MAIS;Haute Qualité Alimentaire;DEJEUNER
2020-09-25;Plat;MOULES SAUCE MARINIERE A LA CREME;;DEJEUNER
2021-05-04;Plat;SAUCISSE AUX HERBES A GRILLER A/PORC HQA;Haute Qualité Alimentaire;DEJEUNER
2020-11-27;Légumes;POMMES VAPEUR PERSILLEES;;DEJEUNER
2020-09-25;Légumes;PATE MACARONIS BIO AU BEURRE;Produit Agriculture Biologique;DEJEUNER
2021-05-06;Entrée;SALADE LAITUE BIO AUX NOISETTES;Produit Agriculture Biologique;DEJEUNER
2020-11-27;Fromage;YAOURT A BOIRE PANACHE;;DEJEUNER
2020-09-25;Légumes;POMME DE TERRE ALLUMETTE FRITE;;DEJEUNER
2021-05-07;Légumes;CAROTTES FRAICHES SAUTEES UPC;Haute Qualité Alimentaire;DEJEUNER
2020-11-30;Entrée;CHOU CHINOIS VINAIGRETTE SOJA;;DEJEUNER
2020-09-25;Légumes;POMME DE TERRE FRITE FRAICHE;;DEJEUNER
2021-05-07;Dessert;CREME DESSERT CHOCOLAT BIO;Produit Agriculture Biologique;DEJEUNER
2020-11-30;Légumes;COURGETTES FACON THAI;Haute Qualité Alimentaire;DEJEUNER
2020-09-28;Légumes;CAROTTE BIO BEURRE PERSILLEE;Produit Agriculture Biologique;DEJEUNER
2021-05-10;Légumes;PUREE DE CAROTTES UPC;;DEJEUNER
2020-12-01;Plat;FILET DE COLIN PANE AVEC CITRON;;DEJEUNER
2020-09-28;Légumes;POMME SAUTEE;;DEJEUNER
2021-05-10;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-12-03;Plat;CHIPOLATA A GRILLER;Haute Qualité Alimentaire;DEJEUNER
2020-09-28;Fromage;FROMAGE MINI BABYBEL IND;;DEJEUNER
2021-05-18;Légumes;GRATIN DAUPHINOIS;;DEJEUNER
2020-12-03;Plat;GRATIN SEMOULE AUX LEGUMES ET PARMESAN - COMPLET ALTERNATIF PA;;DEJEUNER
2020-09-29;Fromage;FROMAGE SAINT NECTAIRE AOP;Haute Qualité Alimentaire;DEJEUNER
2021-05-18;Fromage;YAOURT FERMIER HQA ET SUCRE;Haute Qualité Alimentaire;DEJEUNER
2020-12-03;Fromage;PETIT SUISSE NATURE BIO 60GR ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2020-09-29;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-05-20;Entrée;SALADE GRECQUE UPC;Haute Qualité Alimentaire;DEJEUNER
2020-12-03;Fromage;YAOURT NATURE BIO LAIT ENTIER ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2020-10-01;Entrée;FRIAND A LA VIANDE A/PORC;;DEJEUNER
2021-05-20;Légumes;COURGETTE FRAICHE PROVENCALE  (COLLEGE);Haute Qualité Alimentaire;DEJEUNER
2020-12-07;Plat;STEAK HACHE DE BOEUF FACON BOUCHERE;;DEJEUNER
2020-10-01;Fromage;PETITS SUISSE BIO AUX FRUITS;Produit Agriculture Biologique;DEJEUNER
2021-05-21;Entrée;SALADE DE MESCLUN LANDAISE;;DEJEUNER
2020-12-07;Fromage;FROMAGE CAMEMBERT BIO;Produit Agriculture Biologique;DEJEUNER
2020-10-02;Fromage;YAOURT NATURE BIO LAIT ENTIER ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-05-21;Légumes;EPINARDS BIO A LA VACHE QUI RIT;Produit Agriculture Biologique;DEJEUNER
2020-12-08;Fromage;PETITS SUISSE BIO AUX FRUITS;Produit Agriculture Biologique;DEJEUNER
2020-10-05;Entrée;NEMS SUR SALADE;;DEJEUNER
2021-05-21;Fromage;FROMAGE BRIE BIO COUPE;Produit Agriculture Biologique;DEJEUNER
2020-12-10;Entrée;AVOCAT AU CREVETTE;;DEJEUNER
2020-10-06;Entrée;POIS CHICHES CATALANE A/PORC;;DEJEUNER
2021-05-25;Entrée;OEUF A LA COQUE ET MOUILLETTE;;DEJEUNER
2020-12-10;Légumes;RIZ PILAF;;DEJEUNER
2020-10-06;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-05-25;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2020-12-11;Entrée;SALADE DE MACHE AUX BETTERAVES BIO;Produit Agriculture Biologique;DEJEUNER
2020-10-09;Plat;DOS DE COLIN SAUCE DIEPPOISE;;DEJEUNER
2021-05-27;Entrée;PASTEQUE;;DEJEUNER
2020-12-11;Fromage;FROMAGE CARRE FRAIS BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-10-12;Entrée;BETTERAVE DES AU MAIS;;DEJEUNER
2021-05-27;Entrée;SALADE DE TOMATE HQA;Haute Qualité Alimentaire;DEJEUNER
2020-12-11;Fromage;FROMAGE PIK ET CROQ IND;;DEJEUNER
2020-10-12;Fromage;FROMAGE CAMEMBERT BIO;Produit Agriculture Biologique;DEJEUNER
2021-05-27;Entrée;SALADE LAITUE BIO AUX DES D'EMMENTAL;Produit Agriculture Biologique;DEJEUNER
2020-12-14;Entrée;ENDIVES SAUCE BLEU CAJOU CREME;;DEJEUNER
2020-10-13;Plat;BROCHETTE DE POISSON PANE ET CITRON;;DEJEUNER
2021-05-27;Fromage;FROMAGE SAINT PAULIN BIO;Produit Agriculture Biologique;DEJEUNER
2020-12-15;Entrée;OEUF A LA COQUE ET MOUILLETTE;;DEJEUNER
2020-10-13;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-05-31;Plat;DOS DE COLIN SAUCE COCKTAIL;;DEJEUNER
2020-12-15;Entrée;SALADE MACHE AUX CROUTONS;Haute Qualité Alimentaire;DEJEUNER
2020-10-15;Dessert;COMPOTE POMME/POIRE BIO/BISCUIT PETIT BEURRE;Produit Agriculture Biologique;DEJEUNER
2021-05-31;Plat;NUGGETS DE FILET DE POULET;;DEJEUNER
2020-12-15;Fromage;FROMAGE KIRI CREME IND;;DEJEUNER
2020-10-16;Entrée;SALADE MELANGE BIO AUX DES DE VOLAILLE;Produit Agriculture Biologique;DEJEUNER
2021-06-01;Plat;ESCALOPE DE VEAU BIO SAUCE FORESTIERE;;DEJEUNER
2020-12-15;Dessert;COMPOTE BIO POMME ALLEGEE ET BISCUIT CIGARETTE;Produit Agriculture Biologique;DEJEUNER
2020-11-02;Plat;RAVIOLI ET FROMAGE RAPE - PLAT COMPLET;;DEJEUNER
2021-06-03;Entrée;SALADE GRECQUE UPC;Haute Qualité Alimentaire;DEJEUNER
2020-12-17;Entrée;SAUMON FUME SUR TOASTS AU FROMAGE FRAIS;;DEJEUNER
2020-11-02;Fromage;YAOURT BIO LOCAL EN SEAU;Produit Agriculture Biologique;DEJEUNER
2021-06-03;Entrée;SALADE MELANGE BIO AUX DES DE TOMATE;Produit Agriculture Biologique;DEJEUNER
2020-12-17;Légumes;GRATIN DE POMMES DE TERRE A L'EMMENTAL INDIVIDUEL;;DEJEUNER
2020-11-02;Dessert;CREME DESSERT VANILLE BIO;Produit Agriculture Biologique;DEJEUNER
2021-06-03;Entrée;SARDINE A L'HUILE ET CITRON FRAIS;;DEJEUNER
2020-12-17;Dessert;TOURBILLON AUX FRUITS ROUGES INDIVIDUEL;;DEJEUNER
2020-11-03;Entrée;AVOCAT VINAIGRETTE;;DEJEUNER
2021-06-03;Plat;LASAGNES MEDITERRANEENNE - COMPLET ALTERNATIF PA;;DEJEUNER
2020-12-18;Plat;OMELETTE NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2020-11-05;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-06-03;Légumes;HARICOTS VERTS BIO PERSILLES;Produit Agriculture Biologique;DEJEUNER
2020-12-18;Dessert;CREME DESSERT CHOCOLAT BIO;Produit Agriculture Biologique;DEJEUNER
2020-11-06;Entrée;PIZZA AU FROMAGE EN BANDE;;DEJEUNER
2021-06-03;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-01-04;Entrée;PATE CABANE;Haute Qualité Alimentaire;DEJEUNER
2020-11-06;Entrée;SALADE MELANGE BIO AU LEERDAMER ZIG-ZAG;Produit Agriculture Biologique;DEJEUNER
2021-06-04;Plat;ROUILLE A LA SETOISE;;DEJEUNER
2021-01-04;Légumes;GRATIN DAUPHINOIS;;DEJEUNER
2020-11-06;Légumes;HARICOTS VERTS BIO PERSILLES;Produit Agriculture Biologique;DEJEUNER
2021-06-07;Plat;ESCALOPE DE PORC BIO SAUCE CATALANE;Produit Agriculture Biologique;DEJEUNER
2021-01-04;Fromage;FROMAGE OSSAU IRATY A LA COUPE;Haute Qualité Alimentaire;DEJEUNER
2020-11-10;Entrée;SARDINE A L'HUILE ET CITRON FRAIS;;DEJEUNER
2021-06-07;Fromage;YAOURT BIO LOCAL EN SEAU;Produit Agriculture Biologique;DEJEUNER
2021-01-05;Entrée;CAROTTES RAPEES AU CITRON;;DEJEUNER
2020-11-10;Entrée;TARTE 3 FROMAGES FRAICHE;;DEJEUNER
2021-06-08;Plat;STEAK FRAIS DE BOEUF HQA;Haute Qualité Alimentaire;DEJEUNER
2021-01-05;Légumes;POMME DE TERRE FRITE U FRY;;DEJEUNER
2020-11-10;Légumes;CAROTTES FRAICHES AU BEURRE PERSILLE;Haute Qualité Alimentaire;DEJEUNER
2021-06-08;Fromage;PETITS SUISSE BIO AUX FRUITS;Produit Agriculture Biologique;DEJEUNER
2021-01-05;Dessert;BISCUIT BROWNIES;;DEJEUNER
2020-11-12;Entrée;SALADE PIEMONTAISE UPC;;DEJEUNER
2021-06-10;Entrée;TIELLE DE SETE IND;;DEJEUNER
2021-01-07;Dessert;DESSERT FRUIT HIVER BIO Po;Produit Agriculture Biologique;DEJEUNER
2020-11-12;Plat;JAMBON BRAISE SAUCE MADERE;;DEJEUNER
2021-06-10;Plat;ROTI DE PORC SAUCE GRIBICHE;;DEJEUNER
2021-01-08;Entrée;FILET DE MAQUEREAU MOUTARDE;;DEJEUNER
2020-11-12;Plat;STEAK HACHE DE BOEUF FACON BOUCHERE;;DEJEUNER
2021-06-10;Plat;SPAGHETTI A LA BOLOGNAISE - COMPLET;;DEJEUNER
2021-01-08;Entrée;PIZZA AU FROMAGE EN BANDE;;DEJEUNER
2020-11-12;Légumes;HARICOTS VERTS BIO PERSILLES;Produit Agriculture Biologique;DEJEUNER
2021-06-11;Entrée;SAUCISSON SEC SALVETAT ET CORNICHONS;Haute Qualité Alimentaire;DEJEUNER
2021-01-08;Dessert;POMME PINK LADY HQA;Haute Qualité Alimentaire;DEJEUNER
2020-11-12;Légumes;POMME DE TERRE FRITE FRAICHE;;DEJEUNER
2021-06-11;Plat;FILET DE POISSON DE MEDITERANNEE;;DEJEUNER
2021-01-11;Entrée;VELOUTE DE POTIRON MAISON;Haute Qualité Alimentaire;DEJEUNER
2020-11-13;Fromage;FROMAGE PORT SALUT;;DEJEUNER
2021-06-14;Entrée;MELON PAYS;Haute Qualité Alimentaire;DEJEUNER
2021-01-11;Plat;ESCALOPE DE PORC BIO A GRILLER AUX HERBES DE PROVENCE;Produit Agriculture Biologique;DEJEUNER
2020-11-16;Entrée;CROQUE MONSIEUR ENTREE A/PORC;;DEJEUNER
2021-06-15;Entrée;TOMATE CERISE TAPENADE;;DEJEUNER
2021-01-12;Fromage;YAOURT NATURE BIO LES 2 VACHES ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2020-11-16;Fromage;FROMAGE TOMME BLANCHE;;DEJEUNER
2021-06-15;Fromage;YAOURT NATURE BIO LES 2 VACHES ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-01-14;Fromage;FROMAGE EDAM BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-11-16;Dessert;LIEGEOIS BIO SAVEUR CHOCOLAT IND;Produit Agriculture Biologique;DEJEUNER
2021-06-17;Légumes;SEMOULE BIO A L'HUILE D'OLIVE;Produit Agriculture Biologique;DEJEUNER
2021-01-15;Légumes;FLAGEOLETS BIO AU JUS;Produit Agriculture Biologique;DEJEUNER
2020-11-17;Plat;ASSIETTE ORIENTALE ET SA SEMOULE BIO - COMPLET ALTERNATIF PV;;DEJEUNER
2021-06-17;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2021-01-15;Fromage;YAOURT BIO LOCAL EN SEAU;Produit Agriculture Biologique;DEJEUNER
2020-11-17;Fromage;FROMAGE CAMEMBERT BIO;Produit Agriculture Biologique;DEJEUNER
2021-06-18;Légumes;POMMES VAPEUR PERSILLEES;;DEJEUNER
2021-01-18;Plat;KEBAB EMINCE DE DINDE/GALETTE SAUCE BLANCHE;;DEJEUNER
2020-11-17;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-06-18;Dessert;SALADE DE FRUIT FRAIS D'ETE;Haute Qualité Alimentaire;DEJEUNER
2021-01-18;Dessert;DESSERT FRUIT HIVER BIO Po;Produit Agriculture Biologique;DEJEUNER
2020-11-19;Entrée;SALADE DE PENNE BIO AUX CREVETTES;Produit Agriculture Biologique;DEJEUNER
2021-06-21;Entrée;CONCOMBRE AUX DES DE BREBIS;;DEJEUNER
2021-01-19;Plat;CURRY LEGUMES/RIZ DE CAMARGUE- PLAT COMPLET ALTERNATIF PV;Haute Qualité Alimentaire;DEJEUNER
2020-11-19;Plat;DOS DE COLIN MARINADE HUILE D'OLIVE ET CITRON;;DEJEUNER
2021-06-21;Fromage;YAOURT CITRON BIO;Produit Agriculture Biologique;DEJEUNER
2021-01-19;Légumes;FONDUE DE POIREAUX FRAIS;Haute Qualité Alimentaire;DEJEUNER
2020-11-19;Fromage;YAOURT NATURE BIO 1/2 ECREME ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-06-21;Dessert;TIRAMISU UPC;;DEJEUNER
2021-01-19;Fromage;FROMAGE SALAGOU TOMETTE DU CAYLAR;Haute Qualité Alimentaire;DEJEUNER
2020-11-20;Entrée;AVOCAT SAUCE COCKTAIL SURIMI/CREVETTE;;DEJEUNER
2021-06-22;Entrée;MAIS AU THON;;DEJEUNER
2021-01-21;Entrée;SALADE LAITUE BIO AUX DES D'EMMENTAL;Produit Agriculture Biologique;DEJEUNER
2020-11-20;Plat;POULET SAUTE SAUCE COCO UPC;;DEJEUNER
2021-06-22;Entrée;QUICHE LORRAINE EN BANDE;;DEJEUNER
2021-01-21;Fromage;YAOURT A BOIRE PANACHE;;DEJEUNER
2020-11-23;Fromage;FROMAGE EMMENTAL BIO IND;Produit Agriculture Biologique;DEJEUNER
2021-06-22;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-01-21;Dessert;GATEAU CHOCOLAT COCO;;DEJEUNER
2020-11-24;Entrée;OEUF A LA COQUE ET MOUILLETTE;;DEJEUNER
2021-06-24;Plat;FILET DE POULET SAUCE CURRY FROIDE;;DEJEUNER
2021-01-21;Dessert;TARTE POMME;;DEJEUNER
2020-11-24;Plat;LENTILLES GOURMANDES AU PESTO PLAT COMPLET ALTERNATIF PV (collegiens);;DEJEUNER
2021-06-24;Légumes;HARICOTS VERTS BIO AU BEURRE PERSILLES;Produit Agriculture Biologique;DEJEUNER
2021-01-22;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2020-11-26;Plat;EMINCE DE DINDE CAJUN;;DEJEUNER
2021-06-25;Entrée;MELON PAYS;Haute Qualité Alimentaire;DEJEUNER
2021-01-22;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-11-26;Légumes;PUREE DE PATATE DOUCE;;DEJEUNER
2021-06-25;Entrée;SALADE MELANGEE BIO A LA FOURME D'AMBERT;Produit Agriculture Biologique;DEJEUNER
2021-01-25;Entrée;SAUCISSON ROSETTE SALVETAT ET BEURRE A/PORC;;DEJEUNER
2020-11-26;Dessert;GATEAU AUX POMMES HQA UPC;Haute Qualité Alimentaire;DEJEUNER
2021-06-25;Légumes;PATES PEPINETTE;;DEJEUNER
2021-01-25;Plat;ANCIENNE PRENDRE PPC057/UPC LASAGNES CHEVRE/EPINARD;;DEJEUNER
2020-11-27;Entrée;BETTERAVE EN DES;;DEJEUNER
2021-06-25;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2021-01-26;Entrée;BEIGNET DE CALAMARS ET CITRON;;DEJEUNER
2020-11-27;Entrée;JAMBON CUIT / CORNICHON;;DEJEUNER
2021-06-25;Dessert;GLACE SUNDAE VANILLE/CARAMEL;;DEJEUNER
2021-01-26;Entrée;VELOUTE DE COURGETTES A LA VACHE QUI RIT;Haute Qualité Alimentaire;DEJEUNER
2020-11-27;Plat;ROUILLE A LA SETOISE;;DEJEUNER
2021-01-26;Légumes;PETIT POIS TRES FINS CAROTTES BIO;Produit Agriculture Biologique;DEJEUNER
2020-11-27;Plat;TARTE 3 FROMAGES FRAICHE PLAT COMPLET ALTERNATIF PA;;DEJEUNER
2021-01-26;Dessert;TARTE TROPEZIENNE;;DEJEUNER
2020-11-30;Entrée;SAMOUSSA;;DEJEUNER
2021-01-28;Plat;SAUTE DE VEAU BIO TANDOORI;Produit Agriculture Biologique;DEJEUNER
2020-11-30;Plat;FILET  POULET SAUCE CHINOISE;;DEJEUNER
2021-01-29;Plat;GRATIN DE POISSON BLANC AUX MOULES;;DEJEUNER
2020-12-01;Plat;POT AU FEU BOEUF PALERON - PLAT COMPLET;;DEJEUNER
2021-01-29;Légumes;POMME DE TERRE NOISETTE;;DEJEUNER
2020-12-01;Dessert;COMPOTE BIO POMME ALLEGEE ET BISCUIT CIGARETTE;Produit Agriculture Biologique;DEJEUNER
2021-01-29;Fromage;FROMAGE SALAGOU TOMETTE DU CAYLAR;Haute Qualité Alimentaire;DEJEUNER
2020-12-03;Entrée;SALADE DE MACHE AUX DES DE FOURME D'AMBERT;Haute Qualité Alimentaire;DEJEUNER
2021-01-29;Fromage;YAOURT FERMIER HQA ET SUCRE;Haute Qualité Alimentaire;DEJEUNER
2020-12-03;Légumes;PUREE DE POMME DE TERRE UPC;;DEJEUNER
2021-01-29;Dessert;COMPOTE POMME FRAICHE UPC;Haute Qualité Alimentaire;DEJEUNER
2020-12-03;Dessert;GATEAU BASQUE;;DEJEUNER
2021-02-01;Plat;FILET DE POISSON DE MEDITERANNEE;;DEJEUNER
2020-12-04;Entrée;SALADE LAITUE FEUILLE BIO;Produit Agriculture Biologique;DEJEUNER
2021-02-01;Plat;STEAK FRAIS DE BOEUF HQA;Haute Qualité Alimentaire;DEJEUNER
2020-12-04;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-02-01;Dessert;BEIGNET CHOCOLAT;;DEJEUNER
2020-12-07;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2021-02-01;Dessert;GATEAU AUX POMMES HQA UPC;Haute Qualité Alimentaire;DEJEUNER
2020-12-08;Entrée;SALADE COEUR DE BLE AU THON;;DEJEUNER
2021-02-02;Entrée;CAROTTES RAPEES BIO;Produit Agriculture Biologique;DEJEUNER
2020-12-10;Entrée;CELERI CREME DE MOUTARDE;;DEJEUNER
2021-02-04;Entrée;SALADE COLESLAW UPC;Haute Qualité Alimentaire;DEJEUNER
2020-12-10;Fromage;FROMAGE EDAM BIO IND;Produit Agriculture Biologique;DEJEUNER
2021-02-04;Entrée;VELOUTE DE COURGETTES A LA VACHE QUI RIT;Haute Qualité Alimentaire;DEJEUNER
2020-12-10;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2021-02-04;Plat;DOS DE COLIN MARINADE HUILE D'OLIVE ET CITRON;;DEJEUNER
2020-12-11;Entrée;CAROTTES RAPEES BIO;Produit Agriculture Biologique;DEJEUNER
2021-02-04;Plat;SAUTE DE DINDE BIO MARENGO;Produit Agriculture Biologique;DEJEUNER
2020-12-11;Plat;FALAFELS ET SES CEREALES SAUCE BLANCHE - COMPLET ALTERNATIF PV;Produit Agriculture Biologique;DEJEUNER
2021-02-08;Entrée;AVOCAT VINAIGRETTE;;DEJEUNER
2020-12-14;Entrée;BETTERAVE EN DES;;DEJEUNER
2021-02-08;Dessert;BROWNIES UPC CREME ANGLAISE;;DEJEUNER
2020-12-14;Entrée;MAIS AU THON;;DEJEUNER
2021-02-09;Dessert;DESSERT FRUIT HIVER BIO Po;Produit Agriculture Biologique;DEJEUNER
2020-12-14;Plat;FILET DE POULET BLEU BLANC COEUR A GRILLER;;DEJEUNER
2021-02-11;Dessert;GATEAU FACON D'AIGUES MORTES MAISON;;DEJEUNER
2020-12-14;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-03-01;Entrée;PAMPLEMOUSSE ROSE AU MIEL (ENTREE);Haute Qualité Alimentaire;DEJEUNER
2020-12-15;Entrée;MELANGE CRUDITEE;;DEJEUNER
2021-03-01;Fromage;FROMAGE EMMENTAL BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-12-17;Plat;BLANQUETTE SAFRANEE DE ST JACQUES ET CREVETTES SAUVAGES;;DEJEUNER
2021-03-01;Fromage;PETIT SUISSE NATURE BIO 60GR ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-01-04;Plat;RAVIOLI ET FROMAGE RAPE - PLAT COMPLET;;DEJEUNER
2021-03-01;Dessert;POIRE WILLIAMS BIO SAUCE CHOCOLAT;Produit Agriculture Biologique;DEJEUNER
2021-01-05;Légumes;POMME DE TERRE ALLUMETTE FRITE;;DEJEUNER
2021-03-02;Entrée;SALADE DE CHOUX FLEURS BIO;Produit Agriculture Biologique;DEJEUNER
2021-01-07;Entrée;SALADE D'ENDIVES AUX NOIX;;DEJEUNER
2021-03-02;Plat;SAUCISSE DE TOULOUSE A GRILLER A/PORC;Haute Qualité Alimentaire;DEJEUNER
2021-01-07;Plat;OMELETTE NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2021-03-02;Légumes;LENTILLE DIJONNAISE UPC;;DEJEUNER
2021-01-07;Légumes;PUREE DE POTIRON;;DEJEUNER
2021-03-02;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-01-07;Fromage;PETIT SUISSE NATURE BIO 60GR ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-03-05;Fromage;FROMAGE KIRI CREME IND;;DEJEUNER
2021-01-07;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2021-03-08;Entrée;FILET DE MAQUEREAU MOUTARDE;;DEJEUNER
2021-01-07;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-03-08;Plat;ROTI DE PORC SAUCE FORESTIERE;;DEJEUNER
