Country,Population,Area,GDP,Richesse
Mexico ,107449525,1972550,9000,Moyenne
Palau ,20579,458,9000,Moyenne
Costa Rica ,4075261,51100,9100,Moyenne
Trinidad & Tobago ,1065842,5128,9500,Moyenne
Turks & Caicos Is ,21152,430,9600,Moyenne
Chile ,16134219,756950,9900,Moyenne
Latvia ,2274735,64589,10200,Moyenne
Croatia ,4494749,56542,10600,Moyenne
South Africa ,44187637,1219912,10700,Moyenne
Antigua & Barbuda ,69108,443,11000,Moyenne
Poland ,38536869,312685,11100,Moyenne
Argentina ,39921833,2766890,11200,Moyenne
Lithuania ,3585906,65200,11400,Moyenne
Mauritius ,1240827,2040,11400,Moyenne
Netherlands Antilles ,221736,960,11400,Moyenne
Saudi Arabia ,27019731,1960582,11800,Moyenne
Estonia ,1324333,45226,12300,Elevée
N. Mariana Islands ,82459,477,12500,Elevée
Uruguay ,3431932,176220,12800,Elevée
Oman ,3102229,212460,13100,Elevée
Slovakia ,5439448,48845,13300,Elevée
Hungary ,9981334,93030,13900,Elevée
Martinique ,436131,1100,14400,Elevée
New Caledonia ,219246,19060,15000,Elevée
Barbados ,279912,431,15700,Elevée
Czech Republic ,10235455,78866,15700,Elevée
British Virgin Is. ,23098,153,16000,Elevée
"Bahamas, The ",303770,13940,16700,Elevée
Puerto Rico ,3927188,13790,16800,Elevée
Bahrain ,698585,665,16900,Elevée
Virgin Islands ,108605,1910,17200,Elevée
French Polynesia ,274578,4167,17500,Elevée
Gibraltar ,27928,7,17500,Elevée
Malta ,400214,316,17700,Elevée
"Korea, South ",48846823,98480,17800,Elevée
Portugal ,10605870,92391,18000,Elevée
Brunei ,379444,5770,18600,Elevée
Andorra ,71201,468,19000,Elevée
Kuwait ,2418393,17820,19000,Elevée
Slovenia ,2010347,20273,19000,Elevée
Cyprus ,784301,9250,19200,Elevée
Macau ,453125,28,19400,Elevée
Israel ,6352117,20770,19800,Elevée
Greece ,10688058,131940,20000,Elevée
Greenland ,56361,2166086,20000,Elevée
Guernsey ,65409,78,20000,Elevée
Guam ,171019,541,21000,Elevée
Isle of Man ,75441,572,21000,Elevée
Qatar ,885359,11437,21500,Elevée
New Zealand ,4076140,268680,21600,Elevée
Faroe Islands ,47246,1399,22000,Elevée
Spain ,40397842,504782,22000,Elevée
United Arab Emirates ,2602713,82880,23200,Elevée
Taiwan ,23036087,35980,23400,Elevée
Singapore ,4492150,693,23700,Elevée
Jersey ,91084,116,24800,Elevée
Liechtenstein ,33987,160,25000,Elevée
Italy ,58133509,301230,26700,Elevée
Sweden ,9016596,449964,26800,Elevée
Monaco ,32543,2,27000,Elevée
Finland ,5231372,338145,27400,Elevée
France ,60876136,547030,27600,Elevée
Germany ,82422299,357021,27600,Elevée
United Kingdom ,60609153,244820,27700,Elevée
Aruba ,71891,193,28000,Elevée
Japan ,127463611,377835,28200,Elevée
Netherlands ,16491461,41526,28600,Elevée
Hong Kong ,6940432,1092,28800,Elevée
Australia ,20264082,7686850,29000,Elevée
Belgium ,10379067,30528,29100,Elevée
Ireland ,4062235,70280,29600,Elevée
Canada ,33098932,9984670,29800,Elevée
Austria ,8192880,83870,30000,Elevée
Iceland ,299388,103000,30900,Elevée
Denmark ,5450661,43094,31100,Elevée
Switzerland ,7523934,41290,32700,Elevée
San Marino ,29251,61,34600,Elevée
Cayman Islands ,45436,262,35000,Elevée
Bermuda ,65773,53,36000,Elevée
Norway ,4610820,323802,37800,Elevée
United States ,298444215,9631420,37800,Elevée
Luxembourg ,474413,2586,55100,Elevée
Western Sahara ,273008,266000,,Faible
